,nom,soustitre,classe,Utilisation,dosage,avertissement
0,Abilify,aripiprazole,Atypical antipsychotics,"['Abilify is an antipsychotic medication. It works by changing the actions of chemicals in the brain.', 'Abilify is used to treat the symptoms of psychotic conditions including schizophrenia in adults and children at least 13 years old.', 'Abilify is also used alone or with a mood stabilizer medicine to treat bipolar I disorder (manic depression) in adults and children at least 10 years old.', 'Abilify is used with antidepressant medication to treat major depressive disorder in adults.', ""Abilify is also used in children at least 6 years old to treat Tourette's disorder and to treat symptoms related to autistic disorder (irritability, aggression, mood swings, temper tantrums, and self-injury).""]","['Take Abilify exactly as prescribed by your doctor. Follow all directions on your prescription label and read all medication guides or instruction sheets. Your doctor may occasionally change your dose.', 'Abilify can be taken with or without food.', 'Swallow the regular tablet whole and do not crush, chew, or break it. Do not split the orally disintegrating tablet.', 'Measure liquid medicine carefully. Use the dosing syringe provided, or use a medicine dose-measuring device (not a kitchen spoon).', 'Remove an orally disintegrating tablet from the package only when you are ready to take the medicine. Place the tablet in your mouth and allow it to dissolve, without chewing. Swallow several times as the tablet dissolves. If needed, you may drink liquid to help swallow the dissolved tablet.', 'Your doctor will need to check your progress on a regular basis.', 'If you also use antidepressant medicine, do not stop using it suddenly or you could have unpleasant symptoms. Ask your doctor before stopping the antidepressant.', 'Store at room temperature away from moisture and heat. Abilify liquid may be used for up to 6 months after opening, but not after the expiration date on the medicine label.', 'Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time.', 'Get your prescription refilled before you run out of medicine completely.', 'Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.', 'Overdose symptoms may include drowsiness, vomiting, aggression, confusion, tremors, fast or slow heart rate, seizure (convulsions), weak or shallow breathing, fainting, or coma.']","['Abilify is not approved for use in older adults with dementia-related psychosis.', 'People with depression or mental illness may have thoughts about suicide. Some young people may have increased suicidal thoughts when first starting a medicine to treat depression. Tell your doctor right away if you have any sudden changes in mood or behavior, or thoughts about suicide.', 'Stop using Abilify and call your doctor at once if you have the following symptoms: fever with stiff muscles and rapid heart rate; uncontrolled muscle movements; symptoms that come on suddenly such as numbness or weakness, severe headache, and problems with vision, speech, or balance.', 'If you also use antidepressant medicine, do not stop using it suddenly.']"
1,Abilify Maintena,aripiprazole,Atypical antipsychotics,"['Abilify Maintena (aripiprazole) is a second-generation or atypical antipsychotic used to treat schizophrenia and bipolar I disorder. It is an extended-release injectable suspension of aripiprazole that only has to be given once a month.', 'It is unclear exactly how Abilify Maintena works, but it is thought to help restore the balance of dopamine and serotonin, which are two chemical messengers or neurotransmitters in the brain. Not having enough of these neurotransmitters can affect the way we think, feel and behave. Abilify Maintena partially activates dopamine D2 and serotonin 5-HT1A receptors and blocks activity at 5-HT2A receptors.', 'Abilify Maintena was approved for use by the US Food and Drug Administration (FDA) in 2013, but other formulations of aripiprazole have been used since 2002.', 'Abilify Maintena is a prescription medicine used for the:', 'It is not known if Abilify Maintena is safe and effective in children under 18 years of age.']",[],"['Each injection of Abilify Maintena must be administered by a healthcare provider only.', 'Abilify Maintena may cause serious side effects, including:']"
2,Abiraterone,Yonsa,Zytiga,"['Abiraterone works by reducing androgen production in the body. Androgens are male hormones that can promote tumor growth in the prostate gland.', 'Abiraterone is used together with steroid medication (prednisone or methylprednisolone) to treat prostate cancer that has spread to other parts of the body. abiraterone is used in men whose prostate cancer cannot be treated with surgery or other medicines.', 'It is not known if abiraterone acetate tablets are safe or effective in females or children.']","['Usual Adult Dose for Prostate Cancer:', 'Metastatic CRPC:\n-Regular formulation: 1000 mg orally once daily (in combination with methylprednisolone 5 mg orally 2 times daily)\n-Micronized formulation: 500 mg orally once daily (in combination with methylprednisolone 4 mg orally 2 times daily)\n\nMetastatic high-risk CSPC:\n-Regular formulation: 1000 mg orally once daily (in combination with methylprednisolone 5 mg orally once daily)\n-Micronized formulation: 500 mg orally once daily (in combination with methylprednisolone 4 mg orally 2 times a day)\n\nComments:\n-Patients receiving this drug should also receive a gonadotropin-releasing hormone (GnRH) analog concurrently or should have had bilateral orchiectomy.\nNOTE: Different abiraterone acetate formulations have different indications and different dosing. Below are suggested dosing guidelines. Refer to the manufacturer product information before prescribing this drug.\n\nUses:\nIn combination with prednisone for the treatment of patients with:\n-Metastatic castration-resistant prostate cancer (CRPC)\n-Metastatic high-risk castration-sensitive prostate cancer (CSPC)', 'Skip the missed dose and take the medicine the following day. Do not take two doses at one time.', 'Call your doctor for instructions if you miss more than one dose of abiraterone.', 'Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.']",['Abiraterone tablets should not be handled by a woman who is pregnant or who may become pregnant. This medicine can harm an unborn baby or cause miscarriage.']
3,Acetaminophen,Actamin,Aurophen,"['Acetaminophen is a pain reliever and a fever reducer.', 'Acetaminophen is used to treat mild to moderate pain, moderate to severe pain in conjunction with opiates, or to reduce fever. Common conditions treated include headache, muscle aches, arthritis, backache, toothaches, sore throat, colds, flu, and fevers.', 'Acetaminophen is also available in many over-the-counter combination medications with other drugs, including Actifed, Alka-Seltzer Plus Liquid Gels, Cepacol, Contac, Coridicin, Dayquil, Dimetapp, Dristan, Excedrin, Feverall, Liquiprin, Midol, Nyquil, Panadol, Robitussin Singlet, Sinutab, Sudafed, Theraflu, Triaminic, Vanquish, Vicks, and Zicam.', 'Acetaminophen is also found in many prescription combination drugs, including Butalbital, Endocet, Fioricet, Hycotab, Hydrocet, Hydrocodone bitartrate, Lortab, Percocet, Phenaphen, Sedapap, Tapanol, Tylenol with codeine, Tylox, Ultracet, Vicodin, and Zydone.', 'Acetaminophen is typically used orally, but can be given intravenously.']","['Take acetaminophen exactly as directed on the label, or as prescribed by your doctor. An overdose can damage your liver or cause death.', 'Acetaminophen comes in many different forms such as capsules, liquid, chewable or disintegrating tablets, and dissolving powders or granules. Read and carefully follow any Instructions for Use provided with your medicine. Ask your doctor or pharmacist if you need help.', 'Adults and teenagers at least 12 years old: Do not take more than 1000 milligrams (mg) at one time or more than 4000 mg in 24 hours.', ""Children younger than 12 years old: Do not take more than 5 doses of children's formula acetaminophen in 24 hours."", 'Do not give extra-strength acetaminophen to a child younger than 12 years old without medical advice.', ""A child's dose is based on age and weight. Carefully follow the dosing instructions provided with acetaminophen. Ask a doctor before giving this medicine to a child younger than 2 years."", ""Acetaminophen made for infants comes with its own medicine dropper or oral syringe. Measuring with the wrong device may cause an overdose. Use only the provided dosing device provided to measure an infant's dose."", ""Liquid acetaminophen made for infants comes with its own medicine dropper or oral syringe. Measuring with the wrong device may cause an overdose. Use only the provided dosing device provided to measure an infant's dose."", 'Acetaminophen made for infants is available in two different dose concentrations, and each concentration comes with its own medicine dropper or oral syringe. These dosing devices are not equal between the different concentrations. Using the wrong device may cause you to give your child an overdose of acetaminophen. Never mix and match dosing devices between infant formulations of acetaminophen.', 'You may need to shake the liquid before each use. Follow the directions on the medicine label.', 'The chewable tablet must be chewed thoroughly before you swallow it.', 'Make sure your hands are dry when handling the acetaminophen disintegrating tablet. Place the tablet on your tongue. It will begin to dissolve right away. Do not swallow the tablet whole. Allow it to dissolve in your mouth without chewing.', 'To use the acetaminophen effervescent granules, dissolve one packet of the granules in at least 4 ounces of water. Stir this mixture and drink all of it right away. To make sure you get the entire dose, add a little more water to the same glass, swirl gently and drink right away.', 'The oral powder should be placed directly on the tongue and swallowed.', 'Stop taking this medicine and call your doctor if:', 'you still have a sore throat after 2 days of use;', 'you still have a fever after 3 days of use;', 'you still have pain after 7 days of use (or 5 days if treating a child);', 'you have a skin rash, ongoing headache, nausea, vomiting, redness or swelling; or', 'your symptoms get worse, or if you have any new symptoms.', 'Taking acetaminophen may cause false results with certain blood glucose monitors. If you have diabetes, ask your doctor about the best way to monitor your blood sugar levels while using this medicine.', 'Store at room temperature away from heat and moisture.', 'Since acetaminophen is taken as needed, you may not be on a dosing schedule. If you are taking the medication regularly, take the missed dose as soon as you remember. Skip the missed dose if it is almost time for your next scheduled dose. Do not take extra medicine to make up the missed dose.', 'Seek emergency medical attention or call the Poison Help line at 1-800-222-1222. An overdose of acetaminophen can be fatal.', 'The first signs of an acetaminophen overdose include loss of appetite, nausea, vomiting, stomach pain, sweating, and confusion or weakness. Later symptoms may include pain in your upper stomach, dark urine, and yellowing of your skin or the whites of your eyes.']","['You should not use this medication if you have severe liver disease.', 'An overdose of acetaminophen can damage your liver or cause death.', 'Adults and teenagers who weigh at least 110 pounds should not take more than 1000 milligrams (mg) at one time, or more than 4000 mg in 24 hours.', ""Children younger than 12 years old should not take more than 5 doses in 24 hours, using only the number of milligrams per dose that is recommended for the child's weight and age. Use exactly as directed on the label."", 'Avoid also using other medicines that contain acetaminophen (sometimes abbreviated as APAP), or you could have a fatal overdose.', 'Call your doctor at once if you have nausea, pain in your upper stomach, itching, loss of appetite, dark urine, clay-colored stools, or jaundice (yellowing of your skin or eyes).', 'Stop taking this medicine and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling.']"
4,Acetylcysteine,NAC,N-A-C Sustain,"['Acetylcysteine is used to help prevent or lessen liver damage caused by taking large quantities of acetaminophen (Tylenol).', 'There are other brands and forms of acetylcysteine available, and some can be purchased over the counter. Not all forms of  acetylcysteine are effective as an acetaminophen antidote. Do not attempt to treat an acetaminophen overdose without medical advice.', 'Acetylcysteine may also be used for purposes not listed in this medication guide.']","['Use exactly as directed on the label, or as prescribed by your doctor.', ""Do not take acetylcysteine at home if you don't understand all instructions."", 'If you are in an emergency medical setting: Before you take acetylcysteine, your caregivers will perform a blood test to measure the level of acetaminophen in your body. This test is most effective when performed within 4 to 8 hours after an acetaminophen overdose. If you cannot remember when you last took acetaminophen or how much you took, you will most likely be given the first dose of acetylcysteine right away.', 'Your doctor will determine how long to treat you with acetylcysteine. Do not stop taking this medicine until your doctor tells you to.', 'If you vomit within 1 hour after taking acetylcysteine, you may need to take another dose.', 'Store at room temperature away from moisture and heat.', 'Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time.', 'Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.']","['In an emergency, you may not be able to tell caregivers about your health conditions. Make sure any doctor caring for you afterward knows you received this medicine.']"
5,Actemra,tocilizumab,Interleukin inhibitors,"['Actemra (tocilizumab) is a FDA approved biological medicine that is given by intravenous infusion or injection under the skin to treat specific patients with COVID-19, rheumatoid arthritis, giant cell arteritis, scleroderma, polyarticular or systemic juvenile idiopathic arthritis, and severe cytokine release syndrome.', 'Actrema was FDA approved to treat COVID-19 on December 21, 2022, for specific adult patients. Pediatric patients (aged 2 years to 18 years) with COVID-19 still have access to Actrema under emergency use authorization (EUA).', 'Actrema is a monoclonal antibody that blocks a protein in your body called interleukin-6 (IL-6).\xa0 If this protein is activated, it causes your immune system to be overactive which results in inflammation and the signs and symptoms of autoimmune disease.\xa0As Actrema blocks the interleukin-6 receptor, this is how it is thought to reduce the immune system from being overactive, so there is less inflammation and a reduction in the signs and symptoms of autoimmune diseases.', 'At a more technical level the mode of action (MOA) of Actrema is that it binds to IL-6 receptors (sIL-6R and mIL-6R) which have been shown to inhibit IL-6-mediated signaling through these receptors. Interleukin-6 is a pro-inflammatory cytokine that is made by a variety of cell types including T- and B-cells, lymphocytes, monocytes and fibroblasts.', 'Actemra can be used with other medications as part your complete treatment.', 'Actemra is indicated for the treatment of:']","['Usual Adult Dose of Actemra for Rheumatoid Arthritis:', 'IV: 4 mg/kg IV as a 60-minute single drip infusion once every 4 weeks, followed by an increase to 8 mg/kg IV given once every 4 weeks as a 60-minute single drip infusion based on clinical response, doses exceeding 800 mg per infusion are not recommended\nSUBCUTANEOUS:\n-Patients less than 100 kg: 162 mg subcutaneously every other week, followed by an increase to every week based on clinical response\n-Patients 100 kg or greater: 162 mg subcutaneously every week\n\nComments:\n-This drug may be used as monotherapy or concomitantly with methotrexate or other non-biologic DMARDs.\n-When transitioning from IV to subcutaneous, give the first subcutaneous dose instead of the next IV dose.\n\nUse: For the treatment of adult patients with moderately to severely active rheumatoid arthritis who have had an inadequate response to one or more Disease-Modifying Anti-Rheumatic Drugs (DMARDs)', 'Usual Adult Dose of Actemra for Giant Cell Arteritis:', 'SUBCUTANEOUS:\n-In combination with a tapering course of glucocorticoids, 162 mg subcutaneously once a week\n-Based on clinical considerations, 162 mg subcutaneously once every other week in combination with a tapering course of glucocorticoids may be prescribed\n\nComments:\n-This drug may be used alone following discontinuation of glucocorticoids.\n\nUse: For the treatment of giant cell arteritis (GCA) in adult patients', 'Usual Adult Dose for Cytokine-Associated Toxicity:', 'IV:\n-Weight less than 30 kg: 12 mg/kg IV over 60 minutes\n-Weight 30 kg or above: 8 mg/kg IV over 60 minutes\n\nComments:\n-Doses exceeding 800 mg per infusion are not recommended.\n-If no clinical improvement occurs after the first dose, up to 3 additional doses may be administered.\n-The interval between consecutive doses should be at least 8 hours.\n-This drug may be used alone or in combination with corticosteroids.\n-Patients with severe or life-threatening CRS frequently have cytopenias or elevated ALT or AST due to the underlying malignancy, preceding lymphodepleting chemotherapy or the CRS.\n-Subcutaneous route not approved for CRS.\n\nUse: For the treatment of chimeric antigen receptor (CAR) T cell-induced severe or life-threatening cytokine release syndrome in adults and pediatric patients 2 years of age and older', 'Usual Pediatric Dose for Juvenile Idiopathic Arthritis:', 'Polyarticular Juvenile Idiopathic Arthritis (PJIA):\nIV formulation: 2 years or older\n-Weight less than 30 kg: 10 mg/kg IV over 60 minutes every 4 weeks\n-Weight 30 kg or more: 8 mg/kg IV over 60 minutes every 4 weeks\nSUBCUTANEOUS formulation:\n-Weight less than 30 kg: 162 mg once every 3 weeks\n-Weight 30 kg or more: 162 mg once every 2 weeks\n\nSystemic Juvenile Idiopathic Arthritis (SJIA):\nIV formulation: 2 years or older:\n-Weight less than 30 kg: 12 mg/kg IV over 60 minutes every 2 weeks\n-Weight 30 kg or more: 8 mg/kg IV over 60 minutes every 2 weeks\nSUBCUTANEOUS formulation:\n-Weight less than 30 kg: 162 mg subcutaneously once every 2 weeks\n-Weight 30 kg or more: 162 mg subcutaneously once a week\n\nComments:\n-This drug may be used as monotherapy or concomitantly with methotrexate.\n-Weight may fluctuate; therefore, dose adjustments should not be based on a single weight measurement.\n-When transitioning from IV to subcutaneous, administer the first subcutaneous dose instead of the next IV dose.\n\nUses:\n-For the treatment of active polyarticular juvenile idiopathic arthritis (PJIA) in patients 2 years of age and older\n-For the treatment of active systemic juvenile idiopathic arthritis (SJIA) in patients 2 years of age and older', 'Usual Pediatric Dose for Cytokine-Associated Toxicity:', 'IV:\n-Weight less than 30 kg: 12 mg/kg IV over 60 minutes\n-Weight 30 kg or above: 8 mg/kg IV over 60 minutes\n\nComments:\n-Doses exceeding 800 mg per infusion are not recommended.\n-If no clinical improvement occurs after the first dose, up to 3 additional doses may be administered.\n-The interval between consecutive doses should be at least 8 hours.\n-This drug may be used alone or in combination with corticosteroids.\n-Patients with severe or life-threatening CRS frequently have cytopenias or elevated ALT or AST due to the underlying malignancy, preceding lymphodepleting chemotherapy or the CRS.\n-Subcutaneous route not approved for CRS.\n\nUse: For the treatment of chimeric antigen receptor (CAR) T cell-induced severe or life-threatening cytokine release syndrome in adults and pediatric patients 2 years of age and older', 'For dosage information on Systemic Sclerosis-Associated Interstitial Lung Disease and\nPolyarticular Juvenile Idiopathic Arthritis click on the dosage link below.', 'For more detailed dosage information other conditions click on the link below.', 'Call your doctor for instructions if you miss a dose.', 'Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.']","['Actemra affects your immune system. You may get infections more easily, even serious or fatal infections. Call your doctor if you have a fever, chills, aches, tiredness, cough, skin sores, diarrhea, weight loss, or burning when you urinate.', 'Actemra may also cause a perforation (a hole or tear) in your stomach or intestines. Tell your doctor if you have a fever and stomach pain with a change in your bowel habits.', 'Actemra may also cause liver problems. Tell your doctor right away if you have right-sided stomach pain, vomiting, loss of appetite, tiredness, dark urine, clay-colored stools, or yellowing of your skin or eyes.', 'Before you start treatment with Actemra, your doctor may perform tests to make sure you do not have tuberculosis or other infections. While using Actemra, you may need frequent medical tests.']"
6,Actos,pioglitazone,Thiazolidinediones,"['Actos is an oral diabetes medicine that helps control blood sugar levels.', 'Actos is used together with diet and exercise to improve blood sugar control in adults with type 2 diabetes mellitus.', 'Actos is not for treating type 1 diabetes.']","['Usual Adult Dose for Diabetes Type 2:', '-Patients without congestive heart failure:\nInitial dose: 15 mg or 30 mg orally once a day\n-Patients with congestive heart failure (New York Heart Association [NYHA] Class I or II):\nInitial dose: 15 mg orally once a day\n\nMaintenance dose: 15 mg to 45 mg orally once a day based on glycemic response as determined by HbA1c\nMaximum dose: 45 mg orally once a day\n\nComments:\n-This drug exerts its antihyperglycemic effect only in the presence of endogenous insulin and therefore is not expected to be effective in patients with type 1 diabetes mellitus or diabetic ketoacidosis.\n-Patients concomitantly receiving an insulin secretagogue or insulin may need to reduce the dose of the insulin secretagogue or insulin if hypoglycemia occurs.\n\nUse: As an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus in multiple clinical settings', 'Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time.', 'Seek emergency medical attention or call the Poison Help line at 1-800-222-1222. You may have signs of low blood sugar, such as extreme weakness, blurred vision, sweating, trouble speaking, tremors, stomach pain, confusion, and seizure (convulsions).']","['You should not use Actos if you have severe or uncontrolled heart failure, active bladder cancer, or diabetic ketoacidosis (call your doctor for treatment with insulin). This medicine is not for treating type 1 diabetes.', 'Actos can cause or worsen congestive heart failure. Stop using this medicine and call your doctor at once if you have shortness of breath (even with mild exertion), swelling, or rapid weight gain.']"
7,Acyclovir,Sitavig,Zovirax,"['Acyclovir is an antiviral drug that is used to treat symptoms of shingles, chickenpox, cold sores and genital herpes which are all caused by herpes viruses. It is also used to prevent having regular outbreaks of genital herpes. Acyclovir will not get rid of the virus infection but does help sores heal faster and helps with pain relief.']","['Take acyclovir exactly as prescribed by your doctor. Follow all directions on your prescription label and read all medication guides or instruction sheets.', 'Start taking acyclovir as soon as possible after the first appearance of symptoms (such as tingling, burning, blisters). Start taking Sitavig within 1 hour after you first notice sold core symptoms, before the cold sore appears.', 'Read and carefully follow any Instructions for Use provided with your medicine. Ask your doctor or pharmacist if you do not understand these instructions.', 'Do not crush, chew, suck on, or swallow a buccal tablet. Place the flat side of the tablet against your upper gum, on the same side of the mouth as your cold sore. Allow the tablet to dissolve in your mouth throughout the day. You may eat and drink normally while the buccal tablet is in place.', 'Do not give an acyclovir buccal tablet to a young child or choking could occur.', 'Shake the oral suspension (liquid) before you measure a dose. Use the dosing syringe provided, or use a medicine dose-measuring device (not a kitchen spoon).', 'Acyclovir doses are based on weight (especially in children and teenagers). Your dose needs may change if you gain or lose weight.', 'Drink plenty of water while you are taking this medicine to keep your kidneys working properly.', 'Use this medicine for the full prescribed length of time, even if your symptoms quickly improve. Skipping doses may increase the risk of your virus becoming resistant to medication.', 'Lesions caused by herpes viruses should be kept as clean and dry as possible. Wearing loose clothing may help to prevent irritation of the lesions.', 'Store at room temperature away from moisture and heat.', 'Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time.', 'Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.', 'Herpes infections are contagious and you can infect other people, even while you are being treated with acyclovir. Avoid letting infected areas come into contact with other people. Avoid touching an infected area and then touching your eyes. Wash your hands frequently to prevent passing the infection to others.']","['Take acyclovir for the entire length of time prescribed by your doctor. Your symptoms may get better before the infection is completely treated.', 'Treatment with acyclovir should be started as soon as possible after the first appearance of symptoms (such as tingling, burning, blisters).', 'Herpes infections are contagious and you can infect other people, even while you are being treated with acyclovir. Avoid letting infected areas come into contact with other people. Avoid touching an infected area and then touching your eyes. Wash your hands frequently to prevent passing the infection to others.', 'Herpes infections are contagious and you can infect other people, even while you are being treated with acyclovir. Avoid letting infected areas come into contact with other people. Avoid touching an infected area and then touching your eyes. Wash your hands frequently to prevent passing the infection to others.']"
8,Adderall,amphetamine and dextroamphetamine,Adderall XR,"['Adderall is used to treat attention deficit hyperactivity disorder (ADHD) and narcolepsy. Adderall contains a combination of amphetamine and dextroamphetamine. Amphetamine and dextroamphetamine are central nervous system stimulants that affect chemicals in the brain and nerves that contribute to hyperactivity and impulse control.', 'Adderall may also be used for purposes not listed in this medication guide.']","['Usual Adult Dose of Adderall for Attention Deficit Disorder:', 'IR:\n-Initial Dose: 5 mg orally 1 or 2 times a day\n-Maintenance Dose: Daily dose may be raised in 5 mg increments at weekly intervals until optimal response is obtained.\n-Maximum Dose: Only in rare cases will it be necessary to exceed 40 mg per day.\n\nXR:\nPatients starting treatment for the first time or switching from another medication:\n-Initial Dose: 20 mg orally once a day\n\nComments:\n-IR: The first dose should be given upon awakening; 1 to 2 additional doses should be given at intervals of 4 to 6 hours.\n-Where possible, drug administration should be interrupted occasionally to determine if continued therapy is required.\n\nUse: As part of a total treatment program for Attention Deficit Hyperactivity Disorder (ADHD).', 'Usual Adult Dose of Adderall for Narcolepsy:', 'IR:\n-Initial Dose: 10 mg orally per day in divided doses\n-Maintenance Dose: Daily dose may be raised in 10 mg increments at weekly intervals until optimal response is obtained.\n\nComments:\n-The first dose should be given on awakening; 1 to 2 additional doses should be given at intervals of 4 to 6 hours.\n-The usual dose is 5 to 60 mg per day in divided doses, depending on the individual patient response.\n-Dosage should be reduced if bothersome adverse reactions (e.g., insomnia, anorexia) appear.\n\nUse: Narcolepsy treatment', 'Usual Pediatric Dose of Adderall for Attention Deficit Disorder:', 'IR:\nAge 3 to 5 Years:\n-Initial Dose: 2.5 mg orally per day\n-Maintenance Dose: Daily dose may be raised in 2.5 mg increments at weekly intervals until optimal response is obtained.\n\nAge 6 to 17 Years:\n-Initial Dose: 5 mg orally 1 or 2 times a day\n-Maintenance Dose: Daily dose may be raised in 5 mg increments at weekly intervals until optimal response is obtained.\n-Maximum Dose: Only in rare cases will it be necessary to exceed 40 mg per day.\n\nXR:\nAge 6 to 12 Years (starting treatment for the first time or switching from another medication):\n-Initial Dose: 5 or 10 mg orally once a day in the morning\n-Maintenance Dose: Daily dose may be raised in 5 to 10 mg increments at weekly intervals.\n-Maximum Dose: 30 mg/day\n\nAge 13 to 17 Years (starting treatment for the first time or switching from another medication):\n-Initial Dose: 10 mg orally once a day\n-Maintenance Dose: Daily dose may be increased to 20 mg/day after one week if symptoms are not adequately controlled.\n-Maximum Dose: 30 mg/day\n\nComments:\n-IR: The first dose should be given on awakening; 1 to 2 additional doses should be given at intervals of 4 to 6 hours.\n-Where possible, drug administration should be interrupted occasionally to determine if continued therapy is required.\n\nUse: As part of a total treatment program for Attention Deficit Hyperactivity Disorder (ADHD).', 'Usual Pediatric Dose of Adderall for Narcolepsy:', 'IR:\nAge 6 to 11 Years:\n-Initial Dose: 5 mg orally per day in divided doses\n-Maintenance Dose: Daily dose may be raised in 5 mg increments at weekly intervals until optimal response is obtained.\n\nAge 12 Years and Older:\n-Initial Dose: 10 mg orally per day in divided doses\n-Maintenance Dose: Daily dose may be raised in 10 mg increments at weekly intervals until optimal response is obtained.\n\nComments:\n-The first dose should be given on awakening; 1 to 2 additional doses should be given at intervals of 4 to 6 hours.\n-The usual dose is 5 to 60 mg per day in divided doses, depending on the individual patient response.\n-Dosage should be reduced if bothersome adverse reactions (e.g., insomnia, anorexia) appear.\n-Narcolepsy rarely occurs in children under 12 years of age.\n\nUse: Narcolepsy treatment', 'Take the missed dose as soon as you remember, but not late in the day. Skip the missed dose if it is almost evening. Do not take extra medicine to make up the missed dose.', 'Seek emergency medical attention or call the Poison Help line at 1-800-222-1222. An overdose of Adderall could be fatal.', 'Overdose symptoms may include restlessness, tremor, muscle twitches, rapid breathing, confusion, hallucinations, panic, aggressiveness, muscle pain or weakness, and dark colored urine. These symptoms may be followed by depression and tiredness. Other overdose symptoms include nausea, vomiting, diarrhea, stomach pain, uneven heartbeats, feeling light-headed, fainting, seizure (convulsions), or coma.']","['Adderall may be habit-forming, and this medicine is a drug of abuse. Tell your doctor if you have had problems with drug or alcohol abuse.', 'Stimulants have caused stroke, heart attack, and sudden death in people with high blood pressure, heart disease, or a heart defect.', 'Do not use this medicine if you have used a MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, phenelzine, rasagiline, selegiline, or tranylcypromine or have received a methylene blue injection.', 'Adderall may cause new or worsening psychosis (unusual thoughts or behavior), especially if you have a history of depression, mental illness, or bipolar disorder.', 'You may have blood circulation problems that can cause numbness, pain, or discoloration in your fingers or toes.', 'Call your doctor right away if you have: signs of heart problems - chest pain, feeling light-headed or short of breath; signs of psychosis - paranoia, aggression, new behavior problems, seeing or hearing things that are not real; signs of circulation problems - unexplained wounds on your fingers or toes.', 'You may not be able to use Adderall if you have glaucoma, overactive thyroid, severe agitation, moderate to severe high blood pressure, heart disease or coronary artery disease, vascular disease, or a history of drug or alcohol addiction.']"
9,Adderall XR,amphetamine and dextroamphetamine,Adderall,"['Adderall XR are central nervous system stimulants that affect chemicals in the brain and nerves that contribute to hyperactivity and impulse control.', 'Adderall XR is a combination medicine used to treat attention deficit hyperactivity disorder (ADHD).', 'Adderall XR may also be used for purposes not listed in this medication guide.']","['Follow all directions on your prescription label and read all medication guides or instruction sheets. Your doctor may occasionally change your dose. Use the medicine exactly as directed.', 'Adderall XR may be habit-forming. Misuse can cause addiction, overdose, or death. Keep the medication in a place where others cannot get to it. Selling or giving away  Adderall XR is against the law.', 'You may take this medicine with or without food, first thing in the morning.', 'Swallow the extended-release capsule whole and do not crush, chew, break, or open it.', 'If you cannot swallow a capsule whole, open it and sprinkle the medicine into a spoonful of applesauce. Swallow the mixture right away without chewing. Do not save it for later use.', 'Adderall XR doses are based on weight (especially in children and teenagers). Your dose needs may change if you gain or lose weight.', 'While using this medicine, your doctor will need to check your progress at regular visits. Tell any doctor who treats you that you are using this medicine.', 'Your dose needs may change if you switch to a different brand, strength, or form of this medicine. Avoid medication errors by using only the form and strength your doctor prescribes.', 'Store at room temperature away from moisture, heat, and light. Keep track of your medicine. You should be aware if anyone is using it improperly or without a prescription.', 'Take the missed dose as soon as you remember, but not late in the day. Skip the missed dose if it is almost evening. Do not take extra medicine to make up the missed dose.', 'Seek emergency medical attention or call the Poison Help line at 1-800-222-1222. An overdose of  Adderall XR could be fatal.', 'Overdose symptoms may include restlessness, tremor, muscle twitches, rapid breathing, confusion, hallucinations, panic, aggressiveness, muscle pain or weakness, and dark colored urine. These symptoms may be followed by depression and tiredness. Other overdose symptoms include nausea, vomiting, diarrhea, stomach pain, uneven heartbeats, feeling light-headed, fainting, seizure (convulsions), or coma.']","[' Adderall XR is a drug of abuse. Tell your doctor if you have had problems with drug or alcohol abuse.', 'Stimulants have caused stroke, heart attack, and sudden death in people with high blood pressure, heart disease, or a heart defect.', 'Do not use this medicine if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine.', 'Adderall XR may cause new or worsening psychosis (unusual thoughts or behavior), especially if you have a history of depression, mental illness, or bipolar disorder.', 'You may have blood circulation problems that can cause numbness, pain, or discoloration in your fingers or toes.', 'Call your doctor right away if you have: signs of heart problems--chest pain, feeling light-headed or short of breath; signs of psychosis--paranoia, aggression, new behavior problems, seeing or hearing things that are not real; signs of circulation problems--unexplained wounds on your fingers or toes.', 'You may not be able to use this medicine if you have glaucoma, overactive thyroid, severe agitation, moderate to severe high blood pressure, heart disease or coronary artery disease, or a history of drug or alcohol addiction.']"
